left_x,left_y,right_x,right_y
200.5324249267578,386.5037536621094,668.5696411132812,228.6770782470703
200.51719665527344,386.545654296875,680.4454956054688,218.40052795410156
200.5025177001953,388.5286865234375,684.49609375,186.71778869628906
200.50570678710938,390.3865051269531,718.4855346679688,184.24505615234375
200.5927276611328,396.463134765625,715.130524981899,165.21965914404325
206.7195281982422,398.6081848144531,731.433502092205,149.7478478723649
218.3702392578125,402.42193603515625,744.6620245931977,134.6808197342634
228.33518981933594,402.5316162109375,756.6542521746363,119.78350432594212
256.98275602703865,399.0291317558306,236.6422576904297,398.54522705078125
276.179595900198,398.34103201360404,258.3155517578125,396.544677734375
288.30975341796875,396.44354248046875,540.7013741942035,276.49053190729745
312.4588928222656,396.5269775390625,513.6211116815789,307.2193248986417
336.681396484375,396.3802185058594,489.71656318956775,330.1067977019323
355.76416415030656,395.6342927403758,364.472900390625,390.4365234375
374.4381642562269,391.9011350815742,382.6028137207031,388.3973388671875
391.9981042998013,387.46854484426495,396.6591796875,384.4635009765625
410.223599992408,383.80240030577363,416.5089111328125,380.5313720703125
428.354773798303,380.087173824867,436.55035400390625,378.3482666015625
446.4452448246387,376.30485261496585,452.5783386230469,374.4356689453125
464.5675048828125,372.5406494140625,455.0890404631955,374.6278715739041
482.6875405020208,368.79570797836584,472.5882568359375,372.56988525390625
500.7988773326017,365.03452335299653,484.3900146484375,370.4602966308594
518.9162024779774,361.2777077218702,488.4977722167969,370.3460693359375
537.0321470639554,357.52227687121024,496.44580078125,366.37255859375
555.1475125766189,353.7650985014925,500.4341735839844,362.3740234375
573.2633353334414,350.00843073098986,500.60577392578125,360.49310302734375
591.3790620487616,346.25174108234467,504.5970764160156,356.63360595703125
609.4948566868463,342.4951125596492,504.5439453125,356.61297607421875
627.6105785007946,338.73846596698377,504.50604248046875,356.66424560546875
645.7263025645902,334.9817542339586,504.6073303222656,360.48126220703125
663.8420624441973,331.22510981866196,504.565185546875,364.42413330078125
681.9577997770493,327.468441348563,500.67901611328125,368.3372802734375
700.0735391035365,323.71177092001216,500.45587158203125,368.47308349609375
574.4050751808554,354.9240012310372,494.51507568359375,366.510498046875
540.1372021177851,363.7476229608027,490.63427734375,370.56854248046875
492.27960205078125,374.64044189453125,487.67343014172786,370.88310161159956
