session_id,trial_number,date,rat_pair,familiarity,barrier_transparency,time_begin,time_first_press,time_coop_or_last_press,time_first_mag_entry,time_trial_end,all_time_sections_valid,successes_in_row,success,trial_frames,lever_press_exists,percent_gazing_original,percent_gazing,percent_interacting,percent_gazing_lev,percent_gazing_mag,percent_interacting_lev,percent_interacting_mag,time_wait_before_cue_both,time_wait_before_cue_rat0,time_wait_before_cue_rat1,distance_vs_wait_valid,time_wait_to_press_one,dist_furthest_from_lever,avg_horizontal_distance,avg_distance
041624_KL002_TimeOut_TrNum7,5,2024-04-16,KL002B-KL002Y,Training Partner,transparent,58.75,59.73,61.67,,,False,0.0,0,343,True,4.664723032069971,4.664723032069971,0.0,0.0,0.0,0.2857142857142857,0.02478134110787172,0.0,0.0,0.0,False,,934.705032825568,755.5905536117502,801.8727726353376
041624_KL002_TimeOut_TrNum7,6,2024-04-16,KL002B-KL002Y,Training Partner,transparent,70.18,71.23,72.47,,,False,0.0,0,267,True,0.5617977528089888,0.37453183520599254,0.0,0.0,0.0,0.2303370786516854,0.16104868913857678,0.0,0.0,0.0,False,,1105.3171071451898,668.235869413257,707.3640776657214
041624_KL002_TimeOut_TrNum7,7,2024-04-16,KL002B-KL002Y,Training Partner,transparent,79.08,79.45,79.45,,,False,0.0,0,307,True,0.0,0.0,0.0,0.003257328990228013,0.0,0.36482084690553745,0.03420195439739414,0.0,0.0,21.0,True,0.37000000000000455,1101.4891311275999,589.2443371431938,664.7258760240622
041624_KL002_TimeOut_TrNum7,8,2024-04-16,KL002B-KL002Y,Training Partner,transparent,89.3,90.07,91.09,,,False,0.0,0,216,True,0.0,0.0,12.962962962962962,0.0,0.0,0.24305555555555555,0.11342592592592593,0.0,53.0,0.0,True,0.769999999999996,516.1470762071317,420.22192493653483,444.70243587672354
041624_KL002_TimeOut_TrNum7,9,2024-04-16,KL002B-KL002Y,Training Partner,transparent,96.52,98.23,98.73,,,False,0.0,0,332,True,0.0,0.0,0.0,0.0,0.0015060240963855422,0.3147590361445783,0.0015060240963855422,0.0,0.0,0.0,False,,909.5157578068581,581.912397862269,631.9549723818138
041624_KL002_TimeOut_TrNum7,10,2024-04-16,KL002B-KL002Y,Training Partner,transparent,107.58,108.35,108.62,,,False,1.0,1,424,True,0.0,0.0,0.0,0.0,0.003537735849056604,0.1544811320754717,0.036556603773584904,0.0,205.0,0.0,True,0.769999999999996,603.7581028517146,344.141415258085,412.63179868852086
041624_KL002_TimeOut_TrNum7,11,2024-04-16,KL002B-KL002Y,Training Partner,transparent,121.7,122.06,122.49,124.32,,True,2.0,1,308,True,0.0,0.0,0.0,0.0,0.0,0.37337662337662336,0.030844155844155844,0.0,0.0,65.0,True,0.35999999999999943,428.03169890308874,189.67668023473217,340.94006032527966
041624_KL002_TimeOut_TrNum7,12,2024-04-16,KL002B-KL002Y,Training Partner,transparent,131.99,132.39,132.9,,,False,3.0,1,288,True,0.0,0.0,0.0,0.003472222222222222,0.0,0.3940972222222222,0.04861111111111111,2.599953408280709,108.0,78.0,True,0.39999999999997726,141.27132030308425,145.46313136081307,299.1322058498299
041624_KL002_TimeOut_TrNum7,13,2024-04-16,KL002B-KL002Y,Training Partner,transparent,141.59,141.88,142.6,145.0,,True,4.0,1,349,True,0.0,0.0,1.146131805157593,0.0,0.0,0.330945558739255,0.044412607449856735,2.0666296322231275,62.0,87.0,True,0.28999999999999204,137.70775157413607,253.76810325202885,371.60706945229543
041624_KL002_TimeOut_TrNum7,14,2024-04-16,KL002B-KL002Y,Training Partner,transparent,153.21,153.64,153.64,,,False,0.0,0,212,True,0.0,0.0,0.0,0.0,0.0,0.33962264150943394,0.09433962264150944,2.0666296322231275,62.0,149.0,True,0.4299999999999784,144.97435381966315,312.2471409721372,451.8603140977305
041624_KL002_TimeOut_TrNum7,15,2024-04-16,KL002B-KL002Y,Training Partner,transparent,160.29,160.63,162.04,,,False,0.0,0,249,True,0.0,0.0,0.0,0.004016064257028112,0.002008032128514056,0.19879518072289157,0.002008032128514056,0.0,0.0,39.0,True,0.3400000000000034,1042.591193403935,359.54236909986605,442.5978095362242
